bin_index,lower_bound,upper_bound,count,wins,losses,avg_predicted_probability,observed_win_rate,absolute_error
0,0.000000,0.100000,0,0,0,,,
1,0.100000,0.200000,0,0,0,,,
2,0.200000,0.300000,34,9,25,0.27225152,0.26470588,0.00754564
3,0.300000,0.400000,277,100,177,0.36352458,0.36101083,0.00251375
4,0.400000,0.500000,1145,504,641,0.45964862,0.44017467,0.01947395
5,0.500000,0.600000,1481,809,672,0.53119671,0.54625253,0.01505582
6,0.600000,0.700000,277,177,100,0.63647542,0.63898917,0.00251375
7,0.700000,0.800000,34,25,9,0.72774848,0.73529412,0.00754564
8,0.800000,0.900000,0,0,0,,,
9,0.900000,1.000000,0,0,0,,,
